Playlist Title,"🕺Feel Good Songs"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkRHhUYS1X1ynXRxaIXshpIW"

Title,Channel,Published,URL
"X O X O","Simon Brown - Topic","28/12/2024",https://www.youtube.com/watch?v=NdJy_hXmAMw
"What A Man Gotta Do","Jonas Brothers - Topic","15/10/2024",https://www.youtube.com/watch?v=chNCYjVudDA
"Sugar Sweet","Benson Boone - Topic","14/10/2024",https://www.youtube.com/watch?v=mC7J8Rphv5E
"Waffle House","Jonas Brothers - Topic","14/10/2024",https://www.youtube.com/watch?v=Ss58oIr7k9g
"Only Human","Jonas Brothers - Topic","15/10/2024",https://www.youtube.com/watch?v=bkT4bBQJAKA
"All 4 Nothing (I'm So In Love)","Lauv - Topic","15/10/2024",https://www.youtube.com/watch?v=Ahm7myXatco
"Don't","Ed Sheeran - Topic","15/10/2024",https://www.youtube.com/watch?v=LHQWrmAZsxY
"Dance with Me Tonight","Olly Murs - Topic","16/10/2024",https://www.youtube.com/watch?v=9_3qQ8Iu0-g
"The Middle","Zedd - Topic","17/10/2024",https://www.youtube.com/watch?v=rYPQtWOcGmQ
"Labrinth - Sexy MF (Official Audio)","LabrinthVEVO","18/10/2024",https://www.youtube.com/watch?v=-wm6hX1cHbc
"Cheerleader (Felix Jaehn Remix) (Radio Edit)","OMI - Topic","21/10/2024",https://www.youtube.com/watch?v=VIUKdjDNbdE
"High Hopes","Panic! At The Disco - Topic","21/10/2024",https://www.youtube.com/watch?v=GJY8OMJXRAk
"90s Kids","Jax - Topic","21/10/2024",https://www.youtube.com/watch?v=1Y9xWLvmY5c
"X O X O · Simon Brown (Lyrics) [xo, kitty season 2 trailer song]","Insight Music","21/09/2025",https://www.youtube.com/watch?v=ctD6bvyxU24
