Playlist Title,"🎹 Great Piano Tunes"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkQdOzVbjlHcJh2jIjdVs3cd"

Title,Channel,Published,URL
"Pehle Bhi Main | Piano Cover | Vishal Mishra | Aakash Desai","Aakash Desai","09/12/2025",https://www.youtube.com/watch?v=f7iK-58f_3Q
"Saiyaara - Title Song | Piano Cover by Ron","Ron","15/12/2025",https://www.youtube.com/watch?v=VpNHCKYm4GM
"La La Land - Mia and Sebastian’s Theme (Piano Version)","Luca Friesen","30/12/2025",https://www.youtube.com/watch?v=5hwFiShs8cs
"Joe Hisaishi - One Summer's Day - Spirited Away Soundtrack 432Hz","432HZ","30/12/2025",https://www.youtube.com/watch?v=PkDSf0qYT-w
"Remember Me","Murray Gold - Topic","30/12/2025",https://www.youtube.com/watch?v=TGJHsL_UXNo
"London Calling (Piano Cover) – Star Trek Into Darkness","birano piano","30/12/2025",https://www.youtube.com/watch?v=qR5ySgIHW2Y
"Little Do You Know - Alex & Sierra - Piano Cover - BODO","Georg","09/12/2025",https://www.youtube.com/watch?v=bOIRLEpdiRk
"Pan's Labyrinth Lullaby (Mercedes' Lullaby) | Piano Cover","Carl Coltrane","09/12/2025",https://www.youtube.com/watch?v=S0vdyGPE4bU
"Yiruma - River Flows in You","Rousseau","30/12/2025",https://www.youtube.com/watch?v=NPBCbTZWnq0
"Married Life (from ""Up"") - Michael Giacchino \\ Cover by Jacob's Piano","Jacob's Piano","30/12/2025",https://www.youtube.com/watch?v=npT_R6QvWvY
"Ludovico Einaudi - Experience 2025","J","30/12/2025",https://www.youtube.com/watch?v=BJlCMUmo220
"Wiz Khalifa - See You Again ft. Charlie Puth (Piano Cover)","Rousseau","30/12/2025",https://www.youtube.com/watch?v=DGjKDQc8LMM
