Playlist Title,"🧲 Something Else…"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkSN3SPEjLizmY5hIQGqoo9V"

Title,Channel,Published,URL
"Tonight (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=bqn76f7PuFU
"Your Kind of Love","ORGAVSM - Topic","03/07/2025",https://www.youtube.com/watch?v=qXTI9FEv1zY
"Beautiful Dress (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=RkwagZ6Khzk
"Feel it (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=hjvW2tbAKl8
"Broken Heart (slowed)","ORGAVSM - Topic","11/04/2025",https://www.youtube.com/watch?v=gEQOLingc90
"Love Song (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=5rERWilFPa4
"Nasty Little Secret (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=NcPrgNYtyZ8
"Perfect (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=hfEk9yJCao8
"One Last Time (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=KoXdMXz2emg
"Do Me Good (slowed)","ORGAVSM - Topic","11/04/2025",https://www.youtube.com/watch?v=QX_cZgCfUko
"Best Night (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=hmKxCbrKiaI
"Bad Boy (slowed)","ORGAVSM - Topic","11/04/2025",https://www.youtube.com/watch?v=EDDsSu6h_ag
"First Night (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=5eiia9W0Y4A
"ORGAVSM - First Night (New Release, slowed ) 💗💗💗","Zaxar Volkov","02/11/2025",https://www.youtube.com/watch?v=4QqPfo-HQ94
"What do you want (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=6lLEd5hZCso
"Too Good For You (slowed)","ORGAVSM - Topic","11/04/2025",https://www.youtube.com/watch?v=1KUGrP4OILo
"Too Good to Be True (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=0wYSY5USFsA
"Magic (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=v_Sjhl6um3w
"Ready to Love (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=e20-1wyH_LE
"All I Want (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=L-lvdQLxccw
"Like a Movie Star (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=uSstj185nBc
"Obsessed (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=d7Y4unW1jLo
"Red Lipstick (slowed)","ORGAVSM - Topic","25/08/2025",https://www.youtube.com/watch?v=oQ0l9e8WMXM
"Touch and Tease (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=kVmjjMIfyFc
"Cast a Fire (Slowed)","ORGAVSM - Topic","14/03/2025",https://www.youtube.com/watch?v=TKVGfqwB_f0
"Red Wine and Rose (slowed)","ORGAVSM - Topic","11/04/2025",https://www.youtube.com/watch?v=eAZsmaMjakw
"Want It So Bad (slowed)","ORGAVSM - Topic","11/04/2025",https://www.youtube.com/watch?v=BG9BlpfkOuw
