Playlist Title,"Virgin Artist 💃"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkSc6ttakLTyUdiRRscejRUK"

Title,Channel,Published,URL
"Apashe x Cherry Lena - Feeling Good","Kannibalen Records","12/08/2022",https://www.youtube.com/watch?v=2iXd_Q7Bzj8
"Lolo Zouaï - Chain (Official Audio)","Lolo Zouaï","17/02/2022",https://www.youtube.com/watch?v=0Yf8Z4bdhrU
"Son Lux ⁠— ""Easy"" with Woodkid (Live at Montreux Jazz Festival 2016)","Son Lux","17/02/2022",https://www.youtube.com/watch?v=vETUpJ88cfA
"AG - Shine A Light (feat. Connie Lim) Sub Español/Lyrics","Girlmoon.","17/02/2022",https://www.youtube.com/watch?v=DMD9i2gw3_4
"Where Feet May Fail (Oceans) - Hillsong United - LYRICS","Christian Oracle (aka - BIBLICAL REVELATIONS)","17/02/2022",https://www.youtube.com/watch?v=TZomtjU7Fz4
"El Tango De Roxanne- Moulin Rouge","Madison College","17/02/2022",https://www.youtube.com/watch?v=Rn0xXo1gwGY
"RAINY NIGHT IN TALLINN","Ludwig Göransson - Topic","17/02/2022",https://www.youtube.com/watch?v=p0tQLPPYcRY
"Apashe - Good news","Apashe","17/02/2022",https://www.youtube.com/watch?v=FH3eCt-tUCU
"Apashe - Bad News","Apashe","17/02/2022",https://www.youtube.com/watch?v=PANyodyPyhk
"Omega Sapien - Plum ft Sega Bodega","LUCKYME®","08/06/2022",https://www.youtube.com/watch?v=DcNW-Z_riy0
"Private video","Indexer Laws","12/07/2022",https://www.youtube.com/watch?v=Bwvju3Dp7Zc
"Take Me To Church - Hozier Cover","Sofia Karlberg","14/08/2022",https://www.youtube.com/watch?v=fuBG_osuqy8
"Unholy","Sam Smith - Topic","01/10/2022",https://www.youtube.com/watch?v=8VKD-IlvibI
"Lord Huron - The Night We Met (Official Audio)","Lord Huron","19/09/2024",https://www.youtube.com/watch?v=KtlgYxa6BMU
"Don't","Ed Sheeran - Topic","16/10/2024",https://www.youtube.com/watch?v=LHQWrmAZsxY
"Superman","Noah Hawley - Topic","19/11/2024",https://www.youtube.com/watch?v=OUq7CEkUzxw
"Soap&Skin - Me And The Devil (Lyrics)","Rebel","10/01/2026",https://www.youtube.com/watch?v=T7Oe1H87yi8
"The Tracks (The Fool)","Margolnick - Topic","10/01/2026",https://www.youtube.com/watch?v=Ku22auGB1c4
"In This Shirt","The Irrepressibles - Topic","10/01/2026",https://www.youtube.com/watch?v=UO5hm2WbVes
"Full Video: Akh Lad Jaave | Loveyatri | Aayush S|Warina H |Badshah, Tanishk Bagchi,Jubin N, ,Asees K","T-Series","07/03/2026",https://www.youtube.com/watch?v=e_vl5aFXB4Q
"Baaghi 3: Do You Love Me | Disha Patani | Tiger S, Shraddha K | René Bendali | Tanishk B | Nikhita","T-Series","07/03/2026",https://www.youtube.com/watch?v=PHskP9wglJ8
