Title,Channel,Published,URL
"Defying Gravity (From ""Wicked"" Original Broadway Cast Recording/2003 / Lyric Video)","WickedVEVO","17/09/2024",https://www.youtube.com/watch?v=l0Bs_eaXaCo
"First Burn","Ari Afsar - Topic","17/09/2024",https://www.youtube.com/watch?v=gYqaUybOUqI
"Satisfied","Original Broadway Cast of Hamilton - Topic","17/09/2024",https://www.youtube.com/watch?v=InupuylYdcY
"The Greatest Showman - Never Enough Lyric Video","20th Century Studios Thailand","17/09/2024",https://www.youtube.com/watch?v=6jZVsr7q-tE
"The Greatest Showman Cast - This Is Me (Official Lyric Video)","Atlantic Records","17/09/2024",https://www.youtube.com/watch?v=CjxugyZCfuw
"The Greatest Showman Cast - Rewrite The Stars (Official Audio)","Atlantic Records","17/09/2024",https://www.youtube.com/watch?v=gdjR2lvIfJ4
"Mulan | I'll Make a Man Out of You | @disneykids","Disney Kids","12/10/2024",https://www.youtube.com/watch?v=vGfJeW_CcFY
"Mena Massoud, Naomi Scott - A Whole New World (from Aladdin) (Official Video)","DisneyMusicVEVO","12/10/2024",https://www.youtube.com/watch?v=eitDnP0_83k
"Lea Salonga - On My Own (Les Misérables) [720p]","engchi93","12/10/2024",https://www.youtube.com/watch?v=VjfmP7h3gBw
"You'll Be Back","Jonathan Groff - Topic","12/10/2024",https://www.youtube.com/watch?v=eKFN-aqPJH8
"The Greatest Showman Cast - This Is Me (Official Audio)","Atlantic Records","12/10/2024",https://www.youtube.com/watch?v=wEJd2RyGm8Q
"Lea Salonga - I'd Give My Life for You (Miss Saigon in Manila)","LSFP","12/10/2024",https://www.youtube.com/watch?v=cwB3Zxh2gSE
"Whitney Houston - I Will Always Love You (Official 4K Video)","whitneyhoustonVEVO","12/10/2024",https://www.youtube.com/watch?v=3JWTaaS7LdU
"Colors of the Wind","Judy Kuhn - Topic","12/10/2024",https://www.youtube.com/watch?v=MpLnqOvGuMs
"Christina Aguilera - Reflection (2020) (From ""Mulan"")","DisneyMusicVEVO","12/10/2024",https://www.youtube.com/watch?v=RNprQYHenNI
"Disney's Mulan - Reflection (Original and Full Version)","Cookiecat12345","12/10/2024",https://www.youtube.com/watch?v=J0lG8YorBsU
"Rachel Zegler, Andrew Burnap - A Hand Meets A Hand (From ""Disney's Snow White""/Audio Only)","DisneyMusicVEVO","23/03/2025",https://www.youtube.com/watch?v=g8Go6SOkKAo
"Burn","Lin-Manuel Miranda - Topic","13/04/2025",https://www.youtube.com/watch?v=a0k0FJrY4a8
"As Long As You’re Mine","Cynthia Erivo - Topic","14/12/2025",https://www.youtube.com/watch?v=5cnHsaurS5U
"A Hand Meets A Hand","Rachel Zegler - Topic","14/12/2025",https://www.youtube.com/watch?v=pyBdCWhzlHA
"Memory (Reprise) | Cats the Musical","Cats The Musical","14/12/2025",https://www.youtube.com/watch?v=8gd_ohoPzYc
"""Defying Gravity"" - Wicked 20th Anniversary Edition | WICKED the Musical","WICKED The Musical","14/12/2025",https://www.youtube.com/watch?v=AoON1CyhQAM
"Grease  -  Greased Lightning  [ With Lyrics ]","Pillerguri","14/12/2025",https://www.youtube.com/watch?v=wK63eUyk-iM
"""It's a hard knock life"" ORIGINAL Annie 1982","GiGgLeBeArSoApBoX","14/12/2025",https://www.youtube.com/watch?v=-0bOH8ABpco
"The Phantom Of The Opera - Theme Song","Dr Mc","14/12/2025",https://www.youtube.com/watch?v=-JaeBxYCI9k
"Les Mis ""Do You Hear The People Sing""","Chris McCormick","14/12/2025",https://www.youtube.com/watch?v=gMYNfQlf1H8
"Cell Block Tango","Floko008","14/12/2025",https://www.youtube.com/watch?v=qrrz54UtkCc
