Playlist Title,"❤️ Play this to fall in love"
Playlist URL,"https://www.youtube.com/playlist?list=PLH6MwNOJlzkTx0368-EiJx9UEq4LCi-7V"

Title,Channel,Published,URL
"Electric Love","BØRNS - Topic","14/10/2024",https://www.youtube.com/watch?v=1T6r0OttdN0
"Hands To Myself","Selena Gomez - Topic","14/10/2024",https://www.youtube.com/watch?v=nO0_dghcGks
"All 4 Nothing (I'm So In Love)","Lauv - Topic","15/10/2024",https://www.youtube.com/watch?v=Ahm7myXatco
"Like I'm Gonna Lose You","Meghan Trainor - Topic","20/10/2024",https://www.youtube.com/watch?v=F0l7DrGKULc
"Carry You Home","Alex Warren - Topic","20/10/2024",https://www.youtube.com/watch?v=nQKUBX9VP4I
"Life at First Sight","Alexander Stewart - Topic","22/10/2024",https://www.youtube.com/watch?v=Fqc9eF36n5w
"Little Bit More","Suriel Hess - Topic","22/10/2024",https://www.youtube.com/watch?v=8KdG_zp3ieo
"Love Lost","Calum Bowie - Topic","22/10/2024",https://www.youtube.com/watch?v=mQUpnMrWpto
"Favorite T-Shirt","Jake Scott - Topic","29/10/2024",https://www.youtube.com/watch?v=Qpb2vojanXY
"Like This","Jake Scott - Topic","29/10/2024",https://www.youtube.com/watch?v=ZMmPgerKQ5U
"Rest (with Sasha Alex Sloan)","Dean Lewis - Topic","01/11/2024",https://www.youtube.com/watch?v=H_yR3edtCF0
"Little Runaway","Benson Boone - Topic","01/11/2024",https://www.youtube.com/watch?v=C6b9GyxjDmc
"Until I Found You","Stephen Sanchez - Topic","01/11/2024",https://www.youtube.com/watch?v=znvky0Uq8qc
"right person, wrong time","Henry Moodie - Topic","01/11/2024",https://www.youtube.com/watch?v=QaflnI7BzkA
"28 (with Dean Lewis)","Ruth B. - Topic","01/11/2024",https://www.youtube.com/watch?v=-Jcu9EGeWrs
"I Like Me Better","Lauv - Topic","01/11/2024",https://www.youtube.com/watch?v=1-fDgT5ze84
"JVKE - this is what falling in love feels like (Official Video)","JVKE","03/11/2024",https://www.youtube.com/watch?v=BOyO8sZOaOQ
"Anyone","Justin Bieber - Topic","03/11/2024",https://www.youtube.com/watch?v=aTEbpIpU1NM
"Death Wish Love","Benson Boone - Topic","07/11/2024",https://www.youtube.com/watch?v=sChzF9X8zNY
"Forever and a Day","Benson Boone - Topic","07/11/2024",https://www.youtube.com/watch?v=pch_8rwu1Uc
"Everything Good","Jordan Feliz - Topic","20/11/2024",https://www.youtube.com/watch?v=WL43DXoayFs
"Love Is","Jordan Feliz - Topic","30/11/2024",https://www.youtube.com/watch?v=1b4iQrEAAiQ
"Chasing Fire","Lauv - Topic","30/11/2024",https://www.youtube.com/watch?v=fBBcbdeTX-Q
"Mark Ambor - Belong Together (Lyrics)","7clouds","25/12/2024",https://www.youtube.com/watch?v=E7VLyRjp5vg
"Keenan Te - Scars (Lyrics)","The Vibe Guide","08/02/2025",https://www.youtube.com/watch?v=4zbsWOPdDmY
"Meghan Trainor - Like I'm Gonna Lose You (Lyrics) ft. John Legend","Vibe Music","08/02/2025",https://www.youtube.com/watch?v=CoHMMQl9VkI
"Nice To Meet You","Myles Smith - Topic","19/03/2025",https://www.youtube.com/watch?v=t83XXcP_KCI
"Cold","Dean Lewis - Topic","25/04/2025",https://www.youtube.com/watch?v=BNLg-Srgk5A
"Pisces","TROY - Topic","30/04/2025",https://www.youtube.com/watch?v=L12pArxhB3c
"life with u","lullaboy - Topic","18/08/2025",https://www.youtube.com/watch?v=LgBvADmOaqE
"Building Chemistry","Cody Francis - Topic","21/08/2025",https://www.youtube.com/watch?v=rAWpxkMfPyI
"Lauv - I Like Me Better [Official Audio]","Lauv","25/08/2025",https://www.youtube.com/watch?v=a7fzkqLozwA
"Lauv - I Like Me Better (Lyrics)","7clouds","25/08/2025",https://www.youtube.com/watch?v=bnVkf-z28YU
"Trillionaire (with Ryan Mack)","Abe Parker - Topic","08/09/2025",https://www.youtube.com/watch?v=2UUqt74I-FE
"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes - Topic","07/10/2025",https://www.youtube.com/watch?v=SiRJw4f_ufc
"Minefields","Faouzia - Topic","12/10/2025",https://www.youtube.com/watch?v=P12elIHd2e8
"Lucky Me","Jake Miller - Topic","15/12/2025",https://www.youtube.com/watch?v=980_lsDKK8I
"That's How You Know That You're In Love","Loving Caliber - Topic","29/12/2025",https://www.youtube.com/watch?v=zS-g1CrqopM
"On the Way","Jon Robert Hall - Topic","29/12/2025",https://www.youtube.com/watch?v=1WjZfbymRsI
"GOOSEBUMPS - DNA","Ross Harris - Topic","06/01/2026",https://www.youtube.com/watch?v=uK8vvwHnSrQ
"high, high, high","Camylio - Topic","15/01/2026",https://www.youtube.com/watch?v=ny3cqhNH3wE
"Off the Record","Will Jay - Topic","20/01/2026",https://www.youtube.com/watch?v=OaSFrC0GZZ0
"Edward Sharpe & The Magnetic Zeros - Home (Official Video)","Rough Trade Records","14/02/2026",https://www.youtube.com/watch?v=DHEOF_rcND8
"I Think They Call This Love","Elliot James Reay - Topic","15/03/2026",https://www.youtube.com/watch?v=EAnLyHsc3-Y
"I Get to Love You","Ruelle - Topic","15/03/2026",https://www.youtube.com/watch?v=oGAzVbQC-18
